"Movie Title","Review","Review Score","Genres" "Actors"
"argo_2012","Liked this. Heard about all the inaccuracies but who really cares?","25","Mystery & Suspense, Drama","ben affleck|alan arkin|john goodman|bryan cranston|taylor schilling|tate donovan"
"argo_2012","Brilliant. A must see.","45","Mystery & Suspense, Drama","ben affleck|alan arkin|john goodman|bryan cranston|taylor schilling|tate donovan"
"argo_2012","Argo is a 2012 American political thriller film directed by Ben Affleck and written by Chris Terrio. Based on actual events, this suspenseful film has plenty of critics but does well to show the social intricacies and tragedies of the Iranian life and international politics. The film is adapted from U.S. Central Intelligence Agency operative Tony Mendez's book The Master of Disguise and Joshuah Bearman's 2007Wired article 'The Great Escape: How the CIA Used a Fake Sci-Fi Flick to Rescue Americans from Tehran.' The latter deals with the 'Canadian Caper,' in which Mendez led the rescue of six U.S. diplomats from Tehran, Iran, during the 1979-1981 Iran hostage crisis.","40","Mystery & Suspense, Drama","ben affleck|alan arkin|john goodman|bryan cranston|taylor schilling|tate donovan"
"argo_2012","****Argo is a brilliant film. It's tense, thrilling, and, to a point, scary. Ben Affleck is absolutely brilliant here; as actor, and director, and the film flows at a neck breaking pace.","40","Mystery & Suspense, Drama","ben affleck|alan arkin|john goodman|bryan cranston|taylor schilling|tate donovan"
"argo_2012","Everything that a movie should be - suspenseful, well-acted, and not entirely true.","50","Mystery & Suspense, Drama","ben affleck|alan arkin|john goodman|bryan cranston|taylor schilling|tate donovan"
"three_kings","So much energy fills the screen with action and emotions.","40","Action & Adventure, Comedy","mark wahlberg|george clooney|ice cube|spike jonze|nora dunn|jamie kennedy"
"three_kings","What this film does well was it's blending of a great plot with some good action and humour to top it off, The film is helped by how unexpected some scenes are and how smoothly it goes along, I was hoping for a few more action scenes but the story got more serious as it went on and it ended brilliantly, Not your typical war movie but it's certainly one of the best.","40","Action & Adventure, Comedy","mark wahlberg|george clooney|ice cube|spike jonze|nora dunn|jamie kennedy"
"three_kings","Hilarious and tense... a winning combo.","40","Action & Adventure, Comedy","mark wahlberg|george clooney|ice cube|spike jonze|nora dunn|jamie kennedy"
"three_kings","Three Kings is a brilliant mix of a war film, drama, comedy and action film, all based on real events and masterfully directed by David O. Russell.","40","Action & Adventure, Comedy","mark wahlberg|george clooney|ice cube|spike jonze|nora dunn|jamie kennedy"
"three_kings","It's good movie to watch","30","Action & Adventure, Comedy","mark wahlberg|george clooney|ice cube|spike jonze|nora dunn|jamie kennedy"
"three_kings","Definitely got me thinking about middle eastern politics and USA foreign intervention.","35","Action & Adventure, Comedy","mark wahlberg|george clooney|ice cube|spike jonze|nora dunn|jamie kennedy"
"three_kings","Three Kings begins as a cynical, even disrespectful, Gulf War parody. By the end it evolves into a movie that's equal parts dark comedy and philosophical examination of both war and inaction. It asks hard questions, but is wise enough to realize that complex problems don't have simple answers.","35","Action & Adventure, Comedy","mark wahlberg|george clooney|ice cube|spike jonze|nora dunn|jamie kennedy"
"three_kings","Kelly's Heroes is my favortie war film. This film follows in that tradition.. then goes its own original route. At the time, it was in a very exclusive club of 'Gulf War' films. Literally, there was this, Courage under Fire, Hot Shot movies and a handful of TV movies.","40","Action & Adventure, Comedy","mark wahlberg|george clooney|ice cube|spike jonze|nora dunn|jamie kennedy"
"three_kings","hilarious, heartbreaking.","40","Action & Adventure, Comedy","mark wahlberg|george clooney|ice cube|spike jonze|nora dunn|jamie kennedy"
"three_kings","From the very beginning, Three Kings isn't a typical war film. The first act is almost straight-up comedy, and even as the film progresses into a bit more familiar territory, there remains something oddly jarring within the way David O. Russell tells this story, although perhaps some of that can be chalked up to some strange stylistic choices. An anti-war stance takes precedence here, and is unrelenting in proving that message. The film has no shame in throwing punches at United States foreign policy under the Bush administration and the involvement in Iraq at the end of the Persian Gulf War, and works quite effectively in that regard. The film does manage to blend in effective sequences of wartime action and hard-hitting moments, especially towards the end of the film. The four lead performances here are all top notch, including career-igniting performances from George Clooney and Mark Wahlberg and solid turns from Ice Cube and Spike Jonze (in one of his rare acting appearances).One of O. Russell's earlier films is one of his best. While the ending sags and somewhat fails to live up to the rest of the film, it's a rousing film that's simultaneously entertaining and thoughtful in what it has to say.","40","Action & Adventure, Comedy","mark wahlberg|george clooney|ice cube|spike jonze|nora dunn|jamie kennedy"
"three_kings","'Three Kings' takes its material serious enough that it manages to be both a satirical and a sincere portrait of the Gulf War.","40","Action & Adventure, Comedy","mark wahlberg|george clooney|ice cube|spike jonze|nora dunn|jamie kennedy"
"three_kings","Entertaining, energetic and well-directed.","45","Action & Adventure, Comedy","mark wahlberg|george clooney|ice cube|spike jonze|nora dunn|jamie kennedy"
"three_kings","Exciting and angering in equal terms, deftly mixing a powerful statement with innovative filmmaking. At times, Three Kings is very real, very funny, and even real funny.","45","Action & Adventure, Comedy","mark wahlberg|george clooney|ice cube|spike jonze|nora dunn|jamie kennedy"
"three_kings","Excellent film! Wasn't expecting this kind of a thrill ride that also deals with a deeper shift in the humanity of a small group of fortune-seeking soldiers. Well casted and performed.","50","Action & Adventure, Comedy","mark wahlberg|george clooney|ice cube|spike jonze|nora dunn|jamie kennedy"
"three_kings","Soldiers of the gulf war decide to embark on a journey to steal Hussein's gold in this offbeat drama. It doesn't wow but it doesn't bore either.","30","Action & Adventure, Comedy","mark wahlberg|george clooney|ice cube|spike jonze|nora dunn|jamie kennedy"
"three_kings","This is an excellent movie you've probably forgotten about. Give it another watch. Great flick and Ice Cube disables a chopper with an exploding nerf football.","40","Action & Adventure, Comedy","mark wahlberg|george clooney|ice cube|spike jonze|nora dunn|jamie kennedy"
"three_kings","Director David O. Russell makes a sympathetic, entertaining movie about the horrors of war, while seamlessly adding heart, satire, and action like a pro.","45","Action & Adventure, Comedy","mark wahlberg|george clooney|ice cube|spike jonze|nora dunn|jamie kennedy"
"three_kings","I enjoy stories like this where people with dishonorable intentions are turned to honorable actions because their conscience gets the better of them. This movie really hits the ground running by setting the scene and almost immediately putting the plot in motion. I think one problem with this is that I don't get much time to connect with the main characters and care about why they are committing this criminal act. As the film progresses the events make me like the characters more, but I think it would have helped if that came at the beginning. Once things get going I was a little confused over what was happening and what the plan was, but the movie went from confusing to straightforward as the plot progressed so I didn't mind too much. I like how the tables are turned on our protagonists and some of the mistreatment that they doled out is given right back to them. It made you question which actions are justifiable, and also the way the war in the Middle East was executed. Clooney, Wahlberg, and Cube were all perfect casting decisions because they can pull off selfish jerks at the beginning and also selfless protectors at the end. There was something about the pacing of the story that felt very choppy, though, and I didn't really enjoy that. I think it is overall a well-executed story, but there's some ineffable quality to the film that I didn't connect with emotionally. So when heavy things are happening (like torture) I felt strangely disconnected instead of impacted. I'm glad I saw Three Kings, and I think many people would enjoy it, but I don't think I'll ever seek it out again.","35","Action & Adventure, Comedy","mark wahlberg|george clooney|ice cube|spike jonze|nora dunn|jamie kennedy"
"three_kings","I honestly loved it, if u love war movies with action and a great story this is for you. this is not one of those boring drama war films with little to no action. The plot of the story is really believable and Doesn't glorify war making the Americans invincible unlike most war movies.","40","Action & Adventure, Comedy","mark wahlberg|george clooney|ice cube|spike jonze|nora dunn|jamie kennedy"
"three_kings","David O' Russell's Three Kings is a fantastic movie that was probably what people didn't expect it to be. It does seem like David O' Russell focuses on the characters a lot which I'm perfectly fine with as they are memorable. That's not the only aspect that he focused on as he focus on the humor which is really funny, and the plot which is really good and a bit unexpected s this takes place after the Gulf War when some of the characters basically have nothing else better to do. The action is really good and exciting that's like Anthony and Joe Russo when they did Captain America: The Winter Soldier, it's unexpected to see a comedy director that direct action scenes, especially if they are done well. The writing is really good, and the acting from Mark Wahlberg, Ice Cube, George Clooney, and Spike Jonze are really great. My mom would probably think that Three Kings is an all right film as it's really weird like David O' Russell's other films, which I also think that it's weird, but it's a 'weird masterpiece' as the late Roger Ebert quoted this film.","50","Action & Adventure, Comedy","mark wahlberg|george clooney|ice cube|spike jonze|nora dunn|jamie kennedy"
"three_kings","didn't really care much about this war movie very much","20","Action & Adventure, Comedy","mark wahlberg|george clooney|ice cube|spike jonze|nora dunn|jamie kennedy"
"three_kings","The last movie Russell made that could really excite. One of the best modern war films.","45","Action & Adventure, Comedy","mark wahlberg|george clooney|ice cube|spike jonze|nora dunn|jamie kennedy"
"three_kings","A 'military' satire movie is what it is on the surface. Yet if you scrape through just a layer you'll be able to see that it's a well thought through film touching on U.S foreign policy and military.","35","Action & Adventure, Comedy","mark wahlberg|george clooney|ice cube|spike jonze|nora dunn|jamie kennedy"
"three_kings","It's odd, when I hear people talk about war films it's always, Full Metal Jacket, Saving Private Ryan, Black Hawk Down, Jarhead, etc. I've never heard anyone talk about this film so I assumed that it wasn't much good. Three kings is a story about soldiers who served in the Gulf War which has now finished and they are handed the chance to find a stash of gold bullion stolen by Saddam Husseins' regime. However, complications arise and they find themselves on a rescue mission with no support. A solid war film with strong performances providing a compelling story.","40","Action & Adventure, Comedy","mark wahlberg|george clooney|ice cube|spike jonze|nora dunn|jamie kennedy"
"three_kings","I really liked this heist/caper movie with some good action thrown in.","40","Action & Adventure, Comedy","mark wahlberg|george clooney|ice cube|spike jonze|nora dunn|jamie kennedy"
"three_kings","Brilliant storytelling with a cast entirely in sync with one another. A very satisfying drama, indeed.","45","Action & Adventure, Comedy","mark wahlberg|george clooney|ice cube|spike jonze|nora dunn|jamie kennedy"
"three_kings","Expected a serious war movie. What a treat it was XD7.5/10","35","Action & Adventure, Comedy","mark wahlberg|george clooney|ice cube|spike jonze|nora dunn|jamie kennedy"
"three_kings","There's too much going on in Three Kings and there's some unnecessary silliness, but there's much more depth and thought put into it than your average war blockbuster and the actor's are game.","30","Action & Adventure, Comedy","mark wahlberg|george clooney|ice cube|spike jonze|nora dunn|jamie kennedy"
"three_kings","Quite a good post-war film although I'm not sure that it shows the soldiers in such a good light, especially as we are given a 'what they are doing now' section at the end, suggesting that this was a true story. Entertaining film though.","30","Action & Adventure, Comedy","mark wahlberg|george clooney|ice cube|spike jonze|nora dunn|jamie kennedy"
"three_kings","The troops are celebrating the end of the Gulf War, but three of them want more. The Three 'Kings' decide to go after Saddam Hussein's gold. Along the way they realize the Iraqi citizens are not receiving the American support they were promised for standing up against Saddam.The Three Kings are Marky Mark, George Clooney, and Ice Cube. They are a bit clueless and erratic. It feels LULzy yet is still entertaining. The acting wasn't that great, and it wasn't very realistic either. It wasn't extremely awful, but I wouldn't watch it again for awhile.","20","Action & Adventure, Comedy","mark wahlberg|george clooney|ice cube|spike jonze|nora dunn|jamie kennedy"
"three_kings","Really, pretty meh. Weird shooting style, story is a bit much at times... Watchable but nothing to rave about","30","Action & Adventure, Comedy","mark wahlberg|george clooney|ice cube|spike jonze|nora dunn|jamie kennedy"
"three_kings","This film is as great as one can be without being amazing.","40","Action & Adventure, Comedy","mark wahlberg|george clooney|ice cube|spike jonze|nora dunn|jamie kennedy"
"three_kings","Is it a drama/comedy/war film? Bit of everything really!","30","Action & Adventure, Comedy","mark wahlberg|george clooney|ice cube|spike jonze|nora dunn|jamie kennedy"
